Statistics,Strategy,ROI,Profit Sum,Cost Sum,min,mean,75%,50%,return_mean,return_75%
count,aggressive_bc,1997.00,1997.00,1997.00,1997.00,1997.00,1997.00,1997.00,1997.00,1997.00
mean,aggressive_bc,-0.02,61.76,2848.47,-14.32,0.04,1.82,-0.14,-0.03,0.53
std,aggressive_bc,0.75,1117.40,7957.07,19.73,1.25,3.57,2.21,0.85,0.80
min,aggressive_bc,-9.73,-8724.60,0.07,-112.60,-6.59,-4.90,-9.94,-11.80,-8.07
25%,aggressive_bc,-0.27,-66.60,61.35,-16.90,-0.27,0.00,-0.49,-0.32,0.00
50%,aggressive_bc,0.02,0.80,319.62,-6.25,0.01,0.48,0.00,0.01,0.89
75%,aggressive_bc,0.28,103.96,1112.25,-2.30,0.34,2.06,0.35,0.34,0.99
max,aggressive_bc,8.38,8724.60,54126.80,3.52,9.54,21.15,9.59,7.70,7.88
count,aggressive_bcsp,1994.00,1994.00,1994.00,1994.00,1994.00,1994.00,1994.00,1994.00,1994.00
mean,aggressive_bcsp,0.00,7.29,-1533.37,-6.60,0.00,0.43,-0.01,0.00,0.23
std,aggressive_bcsp,0.15,104.18,2831.82,11.61,0.23,0.50,0.37,0.10,0.29
min,aggressive_bcsp,-1.55,-612.35,-14814.40,-62.26,-4.52,-0.77,-1.15,-0.48,-0.35
25%,aggressive_bcsp,-0.03,-17.02,-1223.34,-4.78,-0.07,0.03,-0.15,-0.04,0.02
50%,aggressive_bcsp,0.00,0.05,-593.43,-2.55,0.00,0.26,0.00,0.00,0.20
75%,aggressive_bcsp,0.03,18.87,-177.59,-1.33,0.08,0.77,0.14,0.05,0.31
max,aggressive_bcsp,5.14,612.35,2535.75,0.51,4.52,5.66,1.50,0.68,1.60
count,aggressive_bp,718.00,718.00,718.00,718.00,718.00,718.00,718.00,718.00,718.00
mean,aggressive_bp,0.22,251.77,896.99,-5.77,1.58,4.12,1.09,0.27,0.61
std,aggressive_bp,0.69,925.82,1708.66,9.60,5.91,8.12,6.17,0.76,0.92
min,aggressive_bp,-2.33,-2471.25,0.25,-65.85,-31.97,-30.28,-36.35,-1.57,-1.00
25%,aggressive_bp,-0.18,-26.15,60.41,-8.03,-0.47,0.18,-0.68,-0.20,0.12
50%,aggressive_bp,0.14,12.25,282.75,-2.50,0.38,1.18,0.24,0.16,0.73
75%,aggressive_bp,0.68,217.19,1035.94,-0.08,1.69,4.65,1.68,0.69,1.00
max,aggressive_bp,4.38,8974.95,18617.90,39.15,51.34,57.75,50.95,5.11,8.50
count,aggressive_bpsp,421.00,421.00,421.00,421.00,421.00,421.00,421.00,421.00,421.00
mean,aggressive_bpsp,0.10,7.51,222.14,-2.52,0.08,0.50,0.08,-370460258619.34,0.59
std,aggressive_bpsp,0.79,39.10,379.96,5.43,0.44,0.65,0.53,4457711666200.79,0.96
min,aggressive_bpsp,-4.53,-105.01,-1.90,-53.49,-1.80,-1.45,-1.85,-63634479376497.80,-2.07
25%,aggressive_bpsp,-0.10,-4.60,11.90,-2.60,-0.09,0.06,-0.15,-0.19,0.12
50%,aggressive_bpsp,0.03,0.94,61.50,-1.34,0.03,0.30,0.00,0.02,0.44
75%,aggressive_bpsp,0.18,9.64,267.11,-0.48,0.16,0.90,0.25,0.28,1.00
max,aggressive_bpsp,5.08,296.15,2710.90,1.40,1.88,2.26,2.00,6.31,7.83
count,aggressive_sc,361.00,361.00,361.00,361.00,361.00,361.00,361.00,361.00,361.00
mean,aggressive_sc,-0.17,-91.10,505.83,-13.81,-0.56,2.38,0.70,-0.15,0.78
std,aggressive_sc,0.80,433.21,897.35,18.83,4.23,4.79,4.51,0.88,0.68
min,aggressive_sc,-5.77,-3895.65,0.65,-101.60,-31.91,-26.20,-32.75,-6.35,-4.06
25%,aggressive_sc,-0.42,-159.91,45.40,-17.55,-0.75,0.71,0.15,-0.45,0.92
50%,aggressive_sc,-0.10,-5.50,183.66,-7.65,-0.16,1.13,0.54,-0.05,0.99
75%,aggressive_sc,0.27,10.92,492.51,-1.85,0.48,2.92,1.50,0.33,1.00
max,aggressive_sc,1.00,2374.25,6686.95,16.55,25.35,30.95,24.85,1.00,1.00
count,aggressive_scsp,442.00,442.00,442.00,442.00,442.00,442.00,442.00,442.00,442.00
mean,aggressive_scsp,0.03,-10.79,-299.53,-3.42,-0.07,0.49,0.11,0.02,0.25
std,aggressive_scsp,0.14,39.78,443.72,6.60,0.37,0.48,0.52,0.15,0.21
min,aggressive_scsp,-0.85,-262.85,-1496.40,-55.65,-1.64,-1.36,-1.80,-0.84,-0.29
25%,aggressive_scsp,-0.05,-25.10,-498.13,-3.39,-0.15,0.20,0.00,-0.06,0.15
50%,aggressive_scsp,0.03,-4.08,-214.10,-2.26,-0.05,0.44,0.15,0.03,0.32
75%,aggressive_scsp,0.08,2.79,-50.40,-1.12,0.09,0.86,0.38,0.08,0.38
max,aggressive_scsp,0.56,175.74,2920.63,0.85,1.15,1.45,1.10,0.52,0.69
count,aggressive_sp,794.00,794.00,794.00,794.00,794.00,794.00,794.00,794.00,794.00
mean,aggressive_sp,0.05,1072.11,9744.54,-22.39,0.72,6.26,2.30,0.06,0.70
std,aggressive_sp,0.30,4213.07,26452.57,27.31,3.17,8.28,5.26,0.32,0.40
min,aggressive_sp,-2.33,-2521.44,0.90,-125.30,-12.82,-11.40,-12.72,-2.38,-2.19
25%,aggressive_sp,-0.08,-64.77,469.01,-31.40,-0.47,1.79,0.06,-0.09,0.50
50%,aggressive_sp,0.07,42.18,1922.56,-11.30,0.33,3.34,1.02,0.07,0.84
75%,aggressive_sp,0.20,359.24,3579.70,-4.56,1.35,6.74,2.45,0.23,0.99
max,aggressive_sp,1.00,29972.45,153003.90,1.80,17.47,39.65,29.30,1.00,1.00
count,aggressive_spsp,231.00,231.00,231.00,231.00,231.00,231.00,231.00,231.00,231.00
mean,aggressive_spsp,0.03,-21.42,317.09,-8.54,-0.13,0.79,-0.23,-270779198375.02,1.02
std,aggressive_spsp,1.42,94.37,447.21,15.11,0.70,0.69,0.73,1824427406367.82,0.84
min,aggressive_spsp,-7.25,-371.30,-0.95,-63.84,-6.22,-0.99,-4.68,-12509998964918.90,-1.42
25%,aggressive_spsp,-0.38,-27.38,39.38,-4.43,-0.27,0.28,-0.65,-0.41,1.00
50%,aggressive_spsp,-0.04,-2.66,160.91,-3.10,-0.03,1.21,-0.25,-0.19,1.13
75%,aggressive_spsp,0.13,8.28,388.16,-2.21,0.11,1.35,0.00,0.07,1.47
max,aggressive_spsp,6.00,154.32,2781.01,0.55,1.16,1.59,1.30,2.10,4.04
count,big aggressive_bc,1013.00,1013.00,1013.00,1013.00,1013.00,1013.00,1013.00,1013.00,1013.00
mean,big aggressive_bc,-0.05,-32.30,269.68,-5.70,-0.01,0.27,0.04,-0.27,0.63
std,big aggressive_bc,0.95,670.16,542.48,10.85,0.46,0.67,0.38,2.28,1.31
min,big aggressive_bc,-6.44,-4256.42,0.11,-77.15,-6.54,-1.54,-2.60,-14.77,-0.99
25%,big aggressive_bc,-0.49,-18.26,18.62,-5.65,-0.09,0.00,-0.02,-0.78,0.00
50%,big aggressive_bc,0.00,0.00,36.43,-3.02,0.00,0.05,0.01,-0.08,0.67
75%,big aggressive_bc,0.40,15.74,123.79,-0.69,0.10,0.20,0.07,0.57,0.90
max,big aggressive_bc,5.59,3754.12,2312.59,0.20,2.35,3.80,2.67,13.05,8.56
